agency_id,language,sector,written_tier,oral_tier,collection_tier,pathway_type,translated_page_count,quality_verdict,tier_verified,assignment_method,evidence_url,capture_date
city_auburn,Acholi,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Aguacateco,city,0.0,0.0,,none,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Akateko,city,0.0,0.0,,none,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Albanian,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,American Sign Language,city,0.0,0.0,,none,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Amharic,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Arabic,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Armenian,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Ayula-Bambara,city,0.0,0.0,,none,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Azerbaijani,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Bambara,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Bangala,city,0.0,0.0,,none,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Bassa,city,0.0,0.0,,none,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Bengali,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Bosnian,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Bulgarian,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
city_auburn,Burmese,city,1.0,2.0,,machine_widget,0.0,,,derived,https://www.auburnwa.gov,2026-09-05
