agency_id,agency_name,sector,language,written_tier,oral_tier,collection_tier,pathway_in_language,pathway_type,translated_page_count,translated_page_slugs,widget_language_count,is_state_channel,evidence_url,capture_date,quality_verdict,notes,assigned_by,assignment_method
health_healthpoint,HealthPoint,health,Acholi,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Aguacateco,0,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Akateko,0,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Albanian,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,American Sign Language,0,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Amharic,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Arabic,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Armenian,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Ayula-Bambara,0,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Azerbaijani,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Bambara,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Bangala,0,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Bassa,0,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
health_healthpoint,HealthPoint,health,Bengali,1,0,,False,none,0,,,False,https://www.healthpointchc.org/,2026-09-07,,"Unrestricted widget, machine translation only | Direct care provider. Federally funded providers must offer interpreters at the point of care regardless of what their website shows, so a web assessment understates this sector. Read the tier as published information, not as bedside access",EH,derived
