agency_id,agency_name,sector,language,written_tier,oral_tier,collection_tier,pathway_in_language,pathway_type,widget,widget_restricted,widget_language_count,translated_page_count,translated_page_slugs,language_access_page_count,site_page_count,evidence_url,capture_date,notes,assigned_by,assignment_method
city_auburn,City of Auburn,city,Acholi,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Aguacateco,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Akateko,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Albanian,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,American Sign Language,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Amharic,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Arabic,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Armenian,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Ayula-Bambara,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Azerbaijani,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Bambara,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Bangala,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Bassa,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Bengali,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Bosnian,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Bulgarian,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Burmese,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Carolinian,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Catalan,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Cebuano,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Cham,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Chamorro,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Chin,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Chinese-Cantonese,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Chinese-Fukienese,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Chinese-Mandarin,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Chinese-Taiwanese,0,0,,False,none,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,Widget present but does not support this language,EH,derived
city_auburn,City of Auburn,city,Chuukese,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Dari,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
city_auburn,City of Auburn,city,Dinka,1,2,,True,machine_widget,google_translate,False,,0,,1,1029,https://www.auburnwa.gov,2026-09-05,"Unrestricted widget, machine translation only",EH,derived
