agency_id,agency_name,sector,language,written_tier,oral_tier,collection_tier,pathway_in_language,pathway_type,translated_page_count,translated_page_slugs,in_language_phone,evidence_url,capture_date,quality_verdict,notes,assigned_by,assignment_method
legal_nwjustice,Northwest Justice Project,legal,Acholi,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Aguacateco,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Akateko,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Albanian,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,American Sign Language,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Amharic,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Arabic,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Armenian,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Ayula-Bambara,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Azerbaijani,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Bambara,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Bangala,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Bassa,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
legal_nwjustice,Northwest Justice Project,legal,Bengali,0,0,,False,none,0,,,https://nwjustice.org/get-legal-help,2026-09-06,,"Operates the CLEAR hotline and publishes WashingtonLawHelp, which is inventoried as a separate agency because its translated library is a distinct service from CLEAR intake",EH,derived
